"Variable","Estimate","Std_Error","t_value","p_value"
"(Intercept)",10.799728,0.076291,141.559546,0
"ln_precio",-3.302956,0.027782,-118.889677,0
"ln_costo",-0.034511,0.020319,-1.6985,0.089441
"categoryjacket",0.070358,0.024073,2.92272,0.003477
"categoryjeans",0.043964,0.022821,1.926517,0.054065
"categoryshoes",0.113165,0.026879,4.210178,2.6e-05
"categoryt-shirt",-0.03848,0.041051,-0.937354,0.348597
"categorytop",-0.084826,0.039229,-2.162331,0.030614
"categorytrainers",0.112438,0.024293,4.628353,4e-06
"brandbrand_2",0.022082,0.019328,1.142493,0.253274
"brandbrand_3",-0.011643,0.02156,-0.540014,0.589198
"brandbrand_4",-0.0538,0.01788,-3.008932,0.002628
